name,ra,dec,t_zero,period,width
104696_AD_CYCLE1807,182.964129523823,-38.8753774536778,2458105.5763078704,10.645389230584248,2.919972222222222
104696_AD_CYCLE1807_DC,182.964129523823,-38.8753774536778,2458126.863611111,31.93632345761817,2.9230555555555555
104718_AD_CYCLE1802,209.517063658138,-30.3481526522945,2457759.53087963,5.183030651960671,4.276444444444445
104718_AD_CYCLE1802_DC,209.517063658138,-30.3481526522945,2457759.5430324073,5.18232722003,3.988888888888889
104718_AD_CYCLE1807_DC,209.517063658138,-30.3481526522945,2457759.493113426,5.184072818703646,3.8882222222222227
104718_AD_CYCLE1807,209.517063658138,-30.3481526522945,2457759.5311342594,5.182996041818032,4.276444444444445
104742_AD_CYCLE1802,213.489802207741,-32.2443975809977,2457757.1463310183,4.77994796634654,3.5364999999999998
104742_AD_CYCLE1802_DC,213.489802207741,-32.2443975809977,2457757.1468055556,4.779958905555671,3.5364999999999998
104742_AD_CYCLE1807_DC,213.489802207741,-32.2443975809977,2457757.146342593,4.779915842952697,3.5364999999999998
104742_AD_CYCLE1807,213.489802207741,-32.2443975809977,2457757.139467593,4.780078581719282,4.279722222222222
104769_AD_CYCLE1807,168.125939702943,-31.2164472807216,2458098.9139930555,4.6710257662595485,2.423347222222222
104769_AD_CYCLE1807_DC,168.125939702943,-31.2164472807216,2458098.914398148,4.671012595922697,2.423347222222222
104779_AD_CYCLE1807,168.196536538204,-32.8525303039389,2458098.8085879628,5.207221694535278,2.9165833333333335
104779_AD_CYCLE1807_DC,168.196536538204,-32.8525303039389,2458098.7815162037,5.208415276637477,2.988888888888889
104826_AD_CYCLE1807,196.70761760567,-40.702002264171,2458139.2708912035,4.941955371187535,19.699472222222223
104826_AD_CYCLE1807_DC,196.70761760567,-40.702002264171,2458141.164409722,2.5518505200382062,1.8073805555555555
104895_AD_CYCLE1807_DC,211.863520505983,-32.4567037660638,2457756.1022569444,2.745975197231655,1.8122416666666665
104917_AD_CYCLE1807_DC,213.269132456036,-34.3687196015604,2457758.079027778,2.7310870452538194,1.570597222222222
104917_AD_CYCLE1807,213.269132456036,-34.3687196015604,2457755.9303819444,0.7295384553997106,5.9222222222222225
104941_AD_CYCLE1807_DC,215.720787877477,-35.1274443353221,2457790.7327314815,3.572315841770567,1.8200027777777776
104941_AD_CYCLE1807,215.720787877477,-35.1274443353221,2457790.732800926,3.572312754977245,1.8200027777777776
105135_AD_CYCLE1807_DC,168.998441727898,-36.4594029404609,2458098.2885763887,10.544627560138785,5.688444444444444
105135_AD_CYCLE1807,168.998441727898,-36.4594029404609,2458098.288483796,10.544638109863541,5.688444444444444
105225_AD_CYCLE1807_DC,200.543725051116,-28.9655891755951,2457397.659837963,3.8633132196310416,2.7146555555555554
105225_AD_CYCLE1807,200.543725051116,-28.9655891755951,2457393.8062962964,3.862838560537847,1.8092944444444445
