noi_id	lc_flag	tag	cat_prod_id	obj_id	ra_deg	dec_deg	epoch_sec	period_sec	width_sec
101063	AD	CYCLE1706	5040663	001378	81.6628618676963	-29.6063770329582	83366650	1529665.99528293	13998
101086	AD	CYCLE1706	5040666	020001	82.7142738677714	-36.631031933925	82164545	228717.514691395	6048.07
101123	AD	CYCLE1706	5040672	044284	91.8722393182487	-25.5948925277411	54389553	66259.3836568543	3964.5
101124	AD	CYCLE1706	5040672	066791	91.7831190099584	-26.5430235298292	54377184	91282.8247614453	6427.68
101128	AD	CYCLE1706	5046284	007660	94.7516558270293	-35.628394314713	83683402	709040.623764927	9786.57
101129	AD	CYCLE1706	5046284	008997	94.4445705219456	-35.7063267731428	83088204	144750.672354189	7135.37
101195	AD	CYCLE1706	5041758	004518	206.02660476583	-32.5229600161075	72635555	291240.306135603	16312.2
101204	AD	CYCLE1706	5041758	048805	205.141507872045	-34.7059806823973	72659292	533011.730771957	6546.64
101214	AD	CYCLE1706	5040711	026167	210.193539253915	-30.5837088012953	95084383	342170.742269111	21699.3
101255	AD	CYCLE1706	5040712	033431	215.482004464094	-30.8427915368923	94968972	243574.07670696	10176.2
101255	AD	NGTS2B	5040712	033431	215.482004464094	-30.8427915368923	NULL	NULL	NULL
101256	AD	CYCLE1706	5040712	043256	215.122818476021	-31.2018545815598	95101813	389265.397928582	14023.3
101256	AD	NGTS2B	5040712	043256	215.122818476021	-31.2018545815598	95491312	778518.602982124	12748.3
101257	AD	CYCLE1706	5040712	044433	212.731063813601	-31.2399704522231	94912276	145423.742657011	7885.59
101257	AD	NGTS2B	5040712	044433	212.731063813601	-31.2399704522231	NULL	NULL	NULL
101292	AD	CYCLE1706	5040714	027917	216.138453945224	-30.7776964190075	94923401	232874.435497984	7929.53
101302	AD	CYCLE1706	5040714	051448	217.683333452454	-31.7324202611918	94895313	390555.240837189	10498
101309	AD	CYCLE1706	5040715	035491	220.100810607288	-30.8690638595347	95072304	386778.303638211	6545.59
101340	AD	CYCLE1706	5040668	007050	87.624913503633	-32.7777841287569	82054591	282531.943417446	6511.81
101416	AD	CYCLE1706	5040689	013876	221.058252864762	5.60551789569607	64466963	290067.89296673	6560.42
101416	AD	PLOTTEST	5040689	013876	221.058252864762	5.60551789569607	64466963	290067.89296673	6560.42
101442	AD	CYCLE1706	5040718	075259	231.184500082926	-26.361195356387	97462573	580849.047655875	11582.6
101517	AD	CYCLE1706	5041762	028093	305.095698299305	-19.3147094632855	73025038	439336.506092581	18605
101526	AD	CYCLE1706	5040690	053901	307.90266016137	-26.491394129893	72781891	1044639.83936726	9797.75
101536	AD	CYCLE1706	5040695	011055	313.818259680762	-1.98868342826961	73529755	1096308.63565885	15287
101538	AD	CYCLE1706	5040695	012833	314.374701532064	-2.08150826041103	72752862	287077.790666554	8723.42
101541	AD	CYCLE1706	5040695	024366	315.455456024814	-2.66308627507633	73539818	1653251.95088373	11865.2
101553	AD	CYCLE1706	5040699	001533	322.758922662795	4.10556310395802	73078735	436628.177619883	7174.95
101568	AD	CYCLE1706	5040699	039184	322.822088252239	1.44132348740731	73123439	649345.27517859	13018.3
101571	AD	CYCLE1706	5040701	010733	324.371011231458	9.10728288551485	73117856	723769.141380486	13047.5
